Rank,Algorithm,ACC_Mean,ACC_Std,ReferenceRuntimeSeconds
1,MSDBO,82.2467874396135,1.52524585461167,12.5128471033333
2,IDBO,76.8365458937198,3.16640489704315,26.70629674
3,NRBO,75.9807246376811,1.73758057710758,13.2366738466667
4,WOA,75.9263285024154,1.82139802334668,14.7291340666667
5,GWO,75.9135024154589,2.0947265546396,14.1995813433333
6,EVO,75.8984541062802,2.11220850035648,20.8259434533333
7,PO,75.8978502415459,1.97412560455896,390.766205353333
8,DBO,75.8318357487923,2.15021201222877,15.0145536833333
9,HHO,75.5680917874396,1.97164197874144,33.60566858
10,CPO,74.9820531400966,1.78186366527848,0.69677872
11,SWO,74.9158937198068,1.90973398230727,0.68055993
12,QHDBO,74.117536231884,2.10023884559368,14.01216562
