Rank,Algorithm,Sensitivity_Mean,Sensitivity_Std,ReferenceRuntimeSeconds
1,MSDBO,80.4759483980072,2.0525403603772,12.5128471033333
2,IDBO,74.9362312252018,3.31859955416077,26.70629674
3,NRBO,74.0610480206068,2.07587544339046,13.2366738466667
4,GWO,74.0018955989544,2.33705404518618,14.1995813433333
5,WOA,74.0011537482126,2.14544193441047,14.7291340666667
6,EVO,73.9726327593975,2.35913673027451,20.8259434533333
7,PO,73.9414056531703,2.23402097306109,390.766205353333
8,DBO,73.8757426125073,2.32839336038882,15.0145536833333
9,HHO,73.7112940708529,2.31329372059785,33.60566858
10,CPO,72.9049052526994,2.12910532096424,0.69677872
11,SWO,72.7704752219458,2.22060877979529,0.68055993
12,QHDBO,71.8756489697666,2.14356445135857,14.01216562
