Rank,Algorithm,Specificity_Mean,Specificity_Std,ReferenceRuntimeSeconds
1,MSDBO,85.5325365266542,1.88088112105609,12.5128471033333
2,IDBO,80.0770643844173,3.14756645287186,26.70629674
3,NRBO,79.2512828402534,1.70371220799453,13.2366738466667
4,WOA,79.2130962447139,1.77480595990213,14.7291340666667
5,GWO,79.197373296638,2.08198507119447,14.1995813433333
6,PO,79.1970081389199,2.01048661524383,390.766205353333
7,EVO,79.1895588888236,2.06137181324781,20.8259434533333
8,DBO,79.1306714799362,2.12051085879618,15.0145536833333
9,HHO,78.7668469058175,1.90869970849024,33.60566858
10,SWO,78.5123587469176,1.87157967248539,0.68055993
11,CPO,78.4935969531558,1.60747847402215,0.69677872
12,QHDBO,77.6563576129753,2.3060588806416,14.01216562
