Dataset,Algorithm,Run,Status,ErrorMessage,BestScore,BestC,BestKernelParameter,ACC,MCC,Sensitivity,Specificity,OptimizationRuntimeSeconds,EvaluationRuntimeSeconds,TotalRuntimeSeconds
bankreshape,QHDBO,1,ok,,0.266317484440585,1.08244716817746,1.1335836946428,71.1217391304348,0.429006248276233,69.4199689199689,73.976023976024,14.4328471,0.123939,14.5570998
bankreshape,QHDBO,2,ok,,0.250135692574902,1,1.02665963214555,72.4369565217391,0.461760636109406,70.2112193362193,76.9661172161172,13.50036,0.014467,13.514935
bankreshape,QHDBO,3,ok,,0.233469025908236,1.49147104998199,1,72.4398550724638,0.454161095697035,71.2556332556333,74.6337551337551,13.6511261,0.0129351,13.6641379
bankreshape,QHDBO,4,ok,,0.241720943696628,3.90968621064543,1,75.5746376811594,0.521034967425283,74.2319902319902,78.6208236208236,15.1386731,0.0125928,15.1513383
bankreshape,QHDBO,5,ok,,0.237720726588508,19.1708511896485,1,74.6246376811594,0.494531993168792,72.6630591630592,77.1172161172161,14.5763333,0.0170988,14.5938847
bankreshape,QHDBO,6,ok,,0.250341945288754,4.51061148370813,1,75.4702898550725,0.516656697568958,73.6437451437452,78.8943278943279,13.3118635,0.0116123,13.3234791
bankreshape,QHDBO,7,ok,,0.232848458532349,9.45594611873303,1,76.5811594202899,0.533498962098258,74.6340326340326,78.8524808524809,14.7813138,0.0165927,14.7979092
bankreshape,QHDBO,8,ok,,0.220692213055435,12.2943857217956,1,75.8036231884058,0.524809350495665,73.7613636363636,79.3601953601953,17.3011034,0.0184131,17.3195193
bankreshape,QHDBO,9,ok,,0.216666666666667,18.6660439499822,1,74.9978260869565,0.510929370928563,72.5459671047906,79.3039183039183,15.0586922,0.015183,15.0738789
bankreshape,QHDBO,10,ok,,0.258767549573021,1.14102106907806,1,72.1507246376812,0.447719921613313,70.2011632158691,75.3348318348318,14.7577687,0.017602,14.7753745
bankreshape,QHDBO,11,ok,,0.25012483716891,20,1,77.0746376811594,0.551720627654519,74.3924825174825,81.4335664335664,14.3814782,0.0120445,14.3935273
bankreshape,QHDBO,12,ok,,0.236718410768563,12.1426476310616,1,77.8746376811594,0.565760244650402,75.6958874458875,81.3489010989011,13.1043223,0.0109399,13.1152653
bankreshape,QHDBO,13,ok,,0.249477131278043,2.13065686621439,1,71.3065217391304,0.4293049681269,68.9207459207459,74.1983016983017,14.3184455,0.0147658,14.3332153
bankreshape,QHDBO,14,ok,,0.2625,1.49517452298378,1,74.5130434782609,0.495139104101492,72.1126651126651,77.8984348984349,15.0709316,0.0137824,15.084718
bankreshape,QHDBO,15,ok,,0.207763424518744,5.25930507135896,1,74.5297101449275,0.496969575848652,72.3752913752914,77.8387723387723,13.6063307,0.0118236,13.618157
