Algorithm,RunsOK,ACC_Mean,ACC_Std,ACC_Rank,MCC_Mean,MCC_Std,MCC_Rank,Sensitivity_Mean,Sensitivity_Std,Sensitivity_Rank,Specificity_Mean,Specificity_Std,Specificity_Rank,OptimizationRuntime_MeanSeconds,OptimizationRuntime_StdSeconds,TotalRuntime_MeanSeconds,TotalRuntime_StdSeconds,TotalRuntime_SumSeconds,Runtime_Rank,BestC_Mean,BestKernelParameter_Mean
QHDBO,30,74.117536231884,2.10023884559368,12,0.489405156009712,0.0426185093617012,12,71.8756489697666,2.14356445135857,12,77.6563576129753,2.3060588806416,12,13.9953128933333,1.05117478581689,14.01216562,1.05438937530397,420.3649686,5,6.98116927373298,1.23284351815744
IDBO,30,76.8365458937198,3.16640489704315,2,0.543880537293835,0.0634187248368487,2,74.9362312252018,3.31859955416077,2,80.0770643844173,3.14756645287186,2,26.69446271,0.412241366171647,26.70629674,0.412204626885654,801.1889022,10,11.4524976079285,1.4562075948026
DBO,30,75.8318357487923,2.15021201222877,8,0.523756403840582,0.0426005784198471,8,73.8757426125073,2.32839336038882,8,79.1306714799362,2.12051085879618,8,15.0019968866667,2.30658880408662,15.0145536833333,2.3068684524643,450.4366105,8,15.3175106677961,1.69600812284123
WOA,30,75.9263285024154,1.82139802334668,4,0.525729398711074,0.036407194680531,4,74.0011537482126,2.14544193441047,5,79.2130962447139,1.77480595990213,4,14.7164325866667,1.02909100421578,14.7291340666667,1.0303712570932,441.874022,7,15.9922957778484,1.12910399802
GWO,30,75.9135024154589,2.0947265546396,5,0.525507630819193,0.0417729759052938,5,74.0018955989544,2.33705404518618,4,79.197373296638,2.08198507119447,5,14.18607846,0.884503135865301,14.1995813433333,0.884551361519511,425.9874403,6,15.5824517419266,1.66978307190615
HHO,30,75.5680917874396,1.97164197874144,9,0.518350447286099,0.0396220376912401,9,73.7112940708529,2.31329372059785,9,78.7668469058175,1.90869970849024,9,33.5934660433333,1.46493367809208,33.60566858,1.46529831095515,1008.1700574,11,14.2263046813336,1.94473210963137
EVO,30,75.8984541062802,2.11220850035648,6,0.525169839509766,0.0419962855592812,6,73.9726327593975,2.35913673027451,6,79.1895588888236,2.06137181324781,7,20.8136381433333,6.70603433880606,20.8259434533333,6.70626643320062,624.7783036,9,14.7410758051815,1.66547255402323
PO,30,75.8978502415459,1.97412560455896,7,0.525059533777392,0.0395992310440637,7,73.9414056531703,2.23402097306109,7,79.1970081389199,2.01048661524383,6,390.753495346667,14.5432744648339,390.766205353333,14.5445676996486,11722.9861606,12,15.6101273659409,1.68065138046528
NRBO,30,75.9807246376811,1.73758057710758,3,0.52668904712707,0.034898710908672,3,74.0610480206068,2.07587544339046,3,79.2512828402534,1.70371220799453,3,13.2235509033333,0.140084366587017,13.2366738466667,0.141020152166668,397.1002154,4,16.3217632921874,1.13200196543421
CPO,30,74.9820531400966,1.78186366527848,10,0.50732950420618,0.0345959856194361,10,72.9049052526994,2.12910532096424,10,78.4935969531558,1.60747847402215,11,0.68461188,0.0424789515473041,0.69677872,0.0425101071287061,20.9033616,2,13.7991221381501,2.24549502206763
SWO,30,74.9158937198068,1.90973398230727,11,0.506124666878255,0.0378814710869928,11,72.7704752219458,2.22060877979529,11,78.5123587469176,1.87157967248539,10,0.668889086666667,0.0338472985477498,0.68055993,0.0337886396580388,20.4167979,1,12.9402225650061,2.67370010299673
MSDBO,30,82.2467874396135,1.52524585461167,1,0.653366453895047,0.0310727826410295,1,80.4759483980072,2.0525403603772,1,85.5325365266542,1.88088112105609,1,12.5012050233333,0.423486300453415,12.5128471033333,0.423733156625884,375.3854131,3,7.27736678197951,0.0556021718731118
