[2026-05-29 08:18:06] Experiment started.
[2026-05-29 08:18:06] Result folder: D:\桌面\MSDBO\4.25\MSDBO-KELM分类\MSDBO-KELM分类\result_metrics_runtime_rankings_20260529_081806
[2026-05-29 08:18:06] Dataset: D:\桌面\MSDBO\4.25\MSDBO-KELM分类\MSDBO-KELM分类\bankreshape.xlsx
[2026-05-29 08:18:06] Settings: pop=30, maxIter=100, runs=30, fitnessKFolds=5, metricKFolds=10, seedBase=20260529
[2026-05-29 08:18:06] Algorithms: QHDBO, IDBO, DBO, WOA, GWO, HHO, EVO, PO, NRBO, CPO, SWO, MSDBO
[2026-05-29 08:18:06] Algorithm 01/12 started: QHDBO
[2026-05-29 08:18:21] Algorithm 01/12 QHDBO run 01/30 OK: ACC=71.1217, MCC=0.4290, Sensitivity=69.4200, Specificity=73.9760, optTime=14.43s, evalTime=0.12s, totalTime=14.56s
[2026-05-29 08:18:34] Algorithm 01/12 QHDBO run 02/30 OK: ACC=72.4370, MCC=0.4618, Sensitivity=70.2112, Specificity=76.9661, optTime=13.50s, evalTime=0.01s, totalTime=13.51s
[2026-05-29 08:18:48] Algorithm 01/12 QHDBO run 03/30 OK: ACC=72.4399, MCC=0.4542, Sensitivity=71.2556, Specificity=74.6338, optTime=13.65s, evalTime=0.01s, totalTime=13.66s
[2026-05-29 08:19:03] Algorithm 01/12 QHDBO run 04/30 OK: ACC=75.5746, MCC=0.5210, Sensitivity=74.2320, Specificity=78.6208, optTime=15.14s, evalTime=0.01s, totalTime=15.15s
[2026-05-29 08:19:18] Algorithm 01/12 QHDBO run 05/30 OK: ACC=74.6246, MCC=0.4945, Sensitivity=72.6631, Specificity=77.1172, optTime=14.58s, evalTime=0.02s, totalTime=14.59s
[2026-05-29 08:19:31] Algorithm 01/12 QHDBO run 06/30 OK: ACC=75.4703, MCC=0.5167, Sensitivity=73.6437, Specificity=78.8943, optTime=13.31s, evalTime=0.01s, totalTime=13.32s
[2026-05-29 08:19:46] Algorithm 01/12 QHDBO run 07/30 OK: ACC=76.5812, MCC=0.5335, Sensitivity=74.6340, Specificity=78.8525, optTime=14.78s, evalTime=0.02s, totalTime=14.80s
[2026-05-29 08:20:03] Algorithm 01/12 QHDBO run 08/30 OK: ACC=75.8036, MCC=0.5248, Sensitivity=73.7614, Specificity=79.3602, optTime=17.30s, evalTime=0.02s, totalTime=17.32s
[2026-05-29 08:20:18] Algorithm 01/12 QHDBO run 09/30 OK: ACC=74.9978, MCC=0.5109, Sensitivity=72.5460, Specificity=79.3039, optTime=15.06s, evalTime=0.02s, totalTime=15.07s
[2026-05-29 08:20:33] Algorithm 01/12 QHDBO run 10/30 OK: ACC=72.1507, MCC=0.4477, Sensitivity=70.2012, Specificity=75.3348, optTime=14.76s, evalTime=0.02s, totalTime=14.78s
[2026-05-29 08:20:47] Algorithm 01/12 QHDBO run 11/30 OK: ACC=77.0746, MCC=0.5517, Sensitivity=74.3925, Specificity=81.4336, optTime=14.38s, evalTime=0.01s, totalTime=14.39s
[2026-05-29 08:21:00] Algorithm 01/12 QHDBO run 12/30 OK: ACC=77.8746, MCC=0.5658, Sensitivity=75.6959, Specificity=81.3489, optTime=13.10s, evalTime=0.01s, totalTime=13.12s
[2026-05-29 08:21:15] Algorithm 01/12 QHDBO run 13/30 OK: ACC=71.3065, MCC=0.4293, Sensitivity=68.9207, Specificity=74.1983, optTime=14.32s, evalTime=0.01s, totalTime=14.33s
[2026-05-29 08:21:30] Algorithm 01/12 QHDBO run 14/30 OK: ACC=74.5130, MCC=0.4951, Sensitivity=72.1127, Specificity=77.8984, optTime=15.07s, evalTime=0.01s, totalTime=15.08s
[2026-05-29 08:21:44] Algorithm 01/12 QHDBO run 15/30 OK: ACC=74.5297, MCC=0.4970, Sensitivity=72.3753, Specificity=77.8388, optTime=13.61s, evalTime=0.01s, totalTime=13.62s
[2026-05-29 08:21:57] Algorithm 01/12 QHDBO run 16/30 OK: ACC=76.1312, MCC=0.5356, Sensitivity=74.3849, Specificity=80.0552, optTime=13.12s, evalTime=0.01s, totalTime=13.13s
[2026-05-29 08:22:11] Algorithm 01/12 QHDBO run 17/30 OK: ACC=73.2812, MCC=0.4677, Sensitivity=70.3462, Specificity=76.6853, optTime=13.97s, evalTime=0.01s, totalTime=13.98s
[2026-05-29 08:22:25] Algorithm 01/12 QHDBO run 18/30 OK: ACC=74.1116, MCC=0.4961, Sensitivity=71.5440, Specificity=79.1340, optTime=14.55s, evalTime=0.01s, totalTime=14.56s
[2026-05-29 08:22:40] Algorithm 01/12 QHDBO run 19/30 OK: ACC=72.9246, MCC=0.4689, Sensitivity=70.0776, Specificity=77.6392, optTime=15.22s, evalTime=0.01s, totalTime=15.23s
[2026-05-29 08:22:55] Algorithm 01/12 QHDBO run 20/30 OK: ACC=77.1732, MCC=0.5453, Sensitivity=74.4153, Specificity=80.3112, optTime=14.05s, evalTime=0.01s, totalTime=14.06s
[2026-05-29 08:23:09] Algorithm 01/12 QHDBO run 21/30 OK: ACC=70.8188, MCC=0.4230, Sensitivity=69.3068, Specificity=73.4870, optTime=14.61s, evalTime=0.01s, totalTime=14.62s
[2026-05-29 08:23:24] Algorithm 01/12 QHDBO run 22/30 OK: ACC=76.2051, MCC=0.5290, Sensitivity=72.8726, Specificity=80.1469, optTime=14.32s, evalTime=0.01s, totalTime=14.34s
[2026-05-29 08:23:37] Algorithm 01/12 QHDBO run 23/30 OK: ACC=71.9478, MCC=0.4457, Sensitivity=68.7512, Specificity=76.2186, optTime=13.39s, evalTime=0.01s, totalTime=13.40s
[2026-05-29 08:23:50] Algorithm 01/12 QHDBO run 24/30 OK: ACC=72.4884, MCC=0.4523, Sensitivity=69.3700, Specificity=76.0320, optTime=13.27s, evalTime=0.01s, totalTime=13.28s
[2026-05-29 08:24:03] Algorithm 01/12 QHDBO run 25/30 OK: ACC=71.1116, MCC=0.4328, Sensitivity=70.0703, Specificity=74.2336, optTime=12.91s, evalTime=0.01s, totalTime=12.92s
[2026-05-29 08:24:16] Algorithm 01/12 QHDBO run 26/30 OK: ACC=72.1275, MCC=0.4493, Sensitivity=69.9080, Specificity=75.8088, optTime=12.43s, evalTime=0.01s, totalTime=12.45s
[2026-05-29 08:24:28] Algorithm 01/12 QHDBO run 27/30 OK: ACC=72.9246, MCC=0.4636, Sensitivity=70.6137, Specificity=76.5660, optTime=12.63s, evalTime=0.01s, totalTime=12.64s
