Algorithm,Run,Status,OptimizationRuntimeSeconds,EvaluationRuntimeSeconds,TotalRuntimeSeconds
CPO,1,ok,0.8725887,0.0106929,0.8832845
CPO,2,ok,0.692421,0.0108858,0.7033097
CPO,3,ok,0.6733051,0.0104655,0.6837734
CPO,4,ok,0.659888,0.0121127,0.6720031
CPO,5,ok,0.7406385,0.0103649,0.7510072
CPO,6,ok,0.6723203,0.0113128,0.6836364
CPO,7,ok,0.6676238,0.0231206,0.6907478
CPO,8,ok,0.7533875,0.0125822,0.7659726
CPO,9,ok,0.6785489,0.0120466,0.6905989
CPO,10,ok,0.693383,0.0113781,0.7047652
CPO,11,ok,0.6885716,0.010651,0.6992251
CPO,12,ok,0.6940145,0.0115546,0.7055718
CPO,13,ok,0.7077235,0.0113692,0.7190958
CPO,14,ok,0.6792166,0.0233164,0.7025358
CPO,15,ok,0.6577009,0.0104546,0.6681581
CPO,16,ok,0.6600184,0.0096811,0.6697036
CPO,17,ok,0.6623201,0.0115147,0.6738379
CPO,18,ok,0.6560757,0.0107443,0.6674482
CPO,19,ok,0.6806289,0.0106928,0.6913243
CPO,20,ok,0.6531125,0.010756,0.6638718
CPO,21,ok,0.6768573,0.0113937,0.6882541
CPO,22,ok,0.6711978,0.0109017,0.6821027
CPO,23,ok,0.6583233,0.010982,0.6693081
CPO,24,ok,0.6525725,0.0103919,0.6629671
CPO,25,ok,0.6573036,0.0097915,0.6670975
CPO,26,ok,0.6871094,0.0216965,0.7088131
CPO,27,ok,0.6742767,0.0119682,0.6862475
CPO,28,ok,0.6616326,0.0106532,0.6722886
CPO,29,ok,0.6808372,0.0106285,0.6914689
CPO,30,ok,0.6747585,0.0101813,0.6849428
