Algorithm,Run,Status,OptimizationRuntimeSeconds,EvaluationRuntimeSeconds,TotalRuntimeSeconds
DBO,1,ok,13.3468069,0.0119559,13.3587658
DBO,2,ok,13.2719382,0.0108637,13.2828051
DBO,3,ok,13.181515,0.0101116,13.1916293
DBO,4,ok,13.1209027,0.0108957,13.1318014
DBO,5,ok,13.2622132,0.0115885,13.2738045
DBO,6,ok,13.2091339,0.010579,13.2197155
DBO,7,ok,14.8544143,0.0140997,14.8685186
DBO,8,ok,14.4757694,0.0116813,14.4874539
DBO,9,ok,13.5786188,0.0126732,13.5912954
DBO,10,ok,13.9482968,0.0116622,13.9599619
DBO,11,ok,14.1339122,0.0110709,14.1449864
DBO,12,ok,13.8998734,0.0113727,13.9112492
DBO,13,ok,14.0258733,0.0121568,14.038033
DBO,14,ok,13.8145094,0.011602,13.8261147
DBO,15,ok,13.8484878,0.0118173,13.8603078
DBO,16,ok,13.9901119,0.0131053,14.0032207
DBO,17,ok,13.8323859,0.0114584,13.8438471
DBO,18,ok,14.7513921,0.0200219,14.7714176
DBO,19,ok,22.7623869,0.012967,22.7753586
DBO,20,ok,17.5607258,0.0109454,17.5716746
DBO,21,ok,17.1079157,0.0135626,17.1214815
DBO,22,ok,16.5216836,0.0129481,16.5346347
DBO,23,ok,14.7649855,0.0132568,14.7782463
DBO,24,ok,17.790929,0.0125968,17.8035286
DBO,25,ok,21.0597382,0.0117266,21.0714678
DBO,26,ok,16.8855811,0.0147543,16.9003386
DBO,27,ok,14.1778324,0.0126237,14.1904591
DBO,28,ok,14.0324461,0.0149989,14.0474479
DBO,29,ok,14.2964793,0.013561,14.3100471
DBO,30,ok,14.5530478,0.0139464,14.5669978
