Algorithm,Run,Status,OptimizationRuntimeSeconds,EvaluationRuntimeSeconds,TotalRuntimeSeconds
GWO,1,ok,13.8966171,0.0117148,13.9083356
GWO,2,ok,14.5015548,0.0130221,14.5145809
GWO,3,ok,14.2674905,0.0147529,14.2822461
GWO,4,ok,14.8494245,0.0111309,14.8605589
GWO,5,ok,13.694832,0.0136024,13.7084383
GWO,6,ok,13.6854936,0.0110839,13.6965802
GWO,7,ok,13.2137898,0.0211813,13.234974
GWO,8,ok,13.0726455,0.0111359,13.0837847
GWO,9,ok,12.9856774,0.0215197,13.0071999
GWO,10,ok,13.1245146,0.0110158,13.1355328
GWO,11,ok,13.102192,0.0100604,13.1122552
GWO,12,ok,13.6993443,0.0122024,13.7115501
GWO,13,ok,13.377929,0.0114995,13.3894317
GWO,14,ok,14.2225462,0.0137345,14.2362839
GWO,15,ok,13.148582,0.0104327,13.1590183
GWO,16,ok,13.8541273,0.0113776,13.8655077
GWO,17,ok,13.6187734,0.0213641,13.6401411
GWO,18,ok,13.6234798,0.012491,13.635974
GWO,19,ok,14.7510307,0.0172863,14.7683209
GWO,20,ok,16.7375393,0.0153677,16.7529109
GWO,21,ok,14.2335696,0.0118856,14.2454585
GWO,22,ok,15.1398003,0.01268,15.1524836
GWO,23,ok,15.0466273,0.0126049,15.0592348
GWO,24,ok,15.0690809,0.0115074,15.0805914
GWO,25,ok,13.8421819,0.0120075,13.8541929
GWO,26,ok,14.5074391,0.0116326,14.5190748
GWO,27,ok,15.4249534,0.0160163,15.4409735
GWO,28,ok,15.1612524,0.0152169,15.1764725
GWO,29,ok,14.9912128,0.0115575,15.0027733
GWO,30,ok,14.7386523,0.0139043,14.7525598
