Algorithm,Run,Status,OptimizationRuntimeSeconds,EvaluationRuntimeSeconds,TotalRuntimeSeconds
HHO,1,ok,33.4660315,0.0117334,33.4777684
HHO,2,ok,35.4750274,0.011772,35.486804
HHO,3,ok,34.4910847,0.0105078,34.5015967
HHO,4,ok,30.7806914,0.0122187,30.792913
HHO,5,ok,33.4597459,0.0122536,33.4720025
HHO,6,ok,32.6226016,0.0128622,32.6354673
HHO,7,ok,31.3947102,0.0144205,31.4091337
HHO,8,ok,34.8882022,0.0128538,34.9010588
HHO,9,ok,33.6482871,0.0104797,33.6587695
HHO,10,ok,32.8118372,0.010521,32.8223609
HHO,11,ok,34.9026658,0.0112239,34.9138929
HHO,12,ok,34.2894751,0.010772,34.3002512
HHO,13,ok,34.2673504,0.014035,34.2813884
HHO,14,ok,35.1759071,0.0104745,35.1863852
HHO,15,ok,35.8676954,0.0115365,35.879235
HHO,16,ok,33.0424993,0.0114,33.0539036
HHO,17,ok,31.5488413,0.0121723,31.5610177
HHO,18,ok,33.2151547,0.0107205,33.2258781
HHO,19,ok,30.8270072,0.011138,30.8381493
HHO,20,ok,35.2775771,0.0120306,35.2896118
HHO,21,ok,33.2153424,0.0113508,33.2267342
HHO,22,ok,34.6081162,0.010381,34.6185486
HHO,23,ok,34.9103754,0.0220113,34.9323896
HHO,24,ok,32.5070961,0.0120679,32.5191671
HHO,25,ok,34.683356,0.0148726,34.6982314
HHO,26,ok,36.008777,0.0141202,36.0229009
HHO,27,ok,31.7876703,0.01124,31.7989138
HHO,28,ok,32.485668,0.011324,32.4969953
HHO,29,ok,32.6911955,0.0111503,32.7023489
HHO,30,ok,33.4539918,0.0122447,33.4662396
