Algorithm,Run,Status,OptimizationRuntimeSeconds,EvaluationRuntimeSeconds,TotalRuntimeSeconds
IDBO,1,ok,27.2642403,0.0124249,27.2766684
IDBO,2,ok,27.2404659,0.011081,27.2515512
IDBO,3,ok,26.4376969,0.0117168,26.4494168
IDBO,4,ok,26.9941946,0.0115212,27.0057189
IDBO,5,ok,27.0721342,0.0122151,27.0843523
IDBO,6,ok,26.8252483,0.0111574,26.836409
IDBO,7,ok,26.7551721,0.0118001,26.7669755
IDBO,8,ok,27.1012707,0.0115894,27.1128633
IDBO,9,ok,26.8646025,0.0113748,26.8759802
IDBO,10,ok,26.1556676,0.011723,26.1673934
IDBO,11,ok,27.1834246,0.0110577,27.1944848
IDBO,12,ok,26.7169815,0.0108405,26.727825
IDBO,13,ok,26.2934564,0.010671,26.30413
IDBO,14,ok,26.5097335,0.0128997,26.5226362
IDBO,15,ok,27.9593343,0.0114828,27.9708201
IDBO,16,ok,26.4015322,0.0115705,26.4131053
IDBO,17,ok,26.7886259,0.0112448,26.7998736
IDBO,18,ok,26.246477,0.0105449,26.2570246
IDBO,19,ok,26.2707764,0.0113083,26.2820888
IDBO,20,ok,26.6628351,0.0155464,26.6783851
IDBO,21,ok,26.387332,0.0121596,26.3994947
IDBO,22,ok,26.2265082,0.0108796,26.2373906
IDBO,23,ok,26.5925112,0.0108246,26.603339
IDBO,24,ok,26.374194,0.0111443,26.3853412
IDBO,25,ok,26.2103461,0.0105246,26.2208739
IDBO,26,ok,26.7150185,0.0110839,26.7261049
IDBO,27,ok,26.5314143,0.0216028,26.5530205
IDBO,28,ok,26.3480412,0.011309,26.3593532
IDBO,29,ok,27.1110174,0.0108462,27.1218667
IDBO,30,ok,26.5936284,0.0107826,26.604415
