Algorithm,Run,Status,OptimizationRuntimeSeconds,EvaluationRuntimeSeconds,TotalRuntimeSeconds
MSDBO,1,ok,12.81291,0.0114648,12.8243783
MSDBO,2,ok,13.6688358,0.0111887,13.6800277
MSDBO,3,ok,12.282343,0.0115827,12.2939288
MSDBO,4,ok,12.4977802,0.0108846,12.5086682
MSDBO,5,ok,12.5612013,0.0139054,12.5751107
MSDBO,6,ok,12.1258205,0.0111733,12.1369965
MSDBO,7,ok,12.9357163,0.0117355,12.9474546
MSDBO,8,ok,12.2225298,0.0124504,12.2349833
MSDBO,9,ok,12.2516353,0.0108558,12.2624939
MSDBO,10,ok,12.1473029,0.0122115,12.1595172
MSDBO,11,ok,12.1436529,0.0107838,12.1544395
MSDBO,12,ok,12.2987801,0.0110501,12.3098329
MSDBO,13,ok,13.7031399,0.0138345,13.7169774
MSDBO,14,ok,12.4426543,0.0121775,12.4548352
MSDBO,15,ok,12.1717814,0.0116836,12.1834679
MSDBO,16,ok,12.199869,0.0104685,12.21034
MSDBO,17,ok,12.4747247,0.0115566,12.4862843
MSDBO,18,ok,12.0992332,0.01105,12.1102862
MSDBO,19,ok,12.7004272,0.0110723,12.7115021
MSDBO,20,ok,12.3561168,0.0124974,12.3686174
MSDBO,21,ok,13.2048874,0.011497,13.2163871
MSDBO,22,ok,12.5096122,0.0114781,12.5210933
MSDBO,23,ok,12.1550725,0.0110803,12.1661557
MSDBO,24,ok,12.1432782,0.0124611,12.1557428
MSDBO,25,ok,12.823585,0.0113681,12.8349559
MSDBO,26,ok,12.4543103,0.0117517,12.4660652
MSDBO,27,ok,12.2760702,0.0112371,12.2873101
MSDBO,28,ok,12.2178891,0.0119263,12.2298185
MSDBO,29,ok,12.4002696,0.0101828,12.4104549
MSDBO,30,ok,12.7547216,0.0125629,12.7672875
