Algorithm,Run,Status,OptimizationRuntimeSeconds,EvaluationRuntimeSeconds,TotalRuntimeSeconds
NRBO,1,ok,13.712343,0.0110181,13.7233642
NRBO,2,ok,13.2447061,0.0115435,13.2562528
NRBO,3,ok,13.0798473,0.0127341,13.0925842
NRBO,4,ok,13.2125986,0.0123263,13.2249274
NRBO,5,ok,13.2863301,0.0119015,13.2982355
NRBO,6,ok,13.1396304,0.0110794,13.1507129
NRBO,7,ok,13.3248721,0.0127416,13.3376182
NRBO,8,ok,13.197777,0.0225747,13.220355
NRBO,9,ok,13.1901563,0.0113482,13.2015076
NRBO,10,ok,13.3612149,0.0223626,13.3835807
NRBO,11,ok,13.3266428,0.0108527,13.3374985
NRBO,12,ok,13.1561857,0.0105253,13.166715
NRBO,13,ok,13.2255241,0.0215604,13.2470871
NRBO,14,ok,13.1952401,0.011328,13.2065711
NRBO,15,ok,13.0377653,0.0120487,13.0498171
NRBO,16,ok,13.2197348,0.0216479,13.2413864
NRBO,17,ok,13.2152178,0.0110047,13.2262254
NRBO,18,ok,13.2350858,0.0101911,13.2452799
NRBO,19,ok,13.3378497,0.0115488,13.3494018
NRBO,20,ok,13.2299411,0.0107811,13.240725
NRBO,21,ok,13.3079521,0.0121737,13.3201286
NRBO,22,ok,13.1641213,0.0113542,13.1754781
NRBO,23,ok,13.2026692,0.0111695,13.2138418
NRBO,24,ok,13.2334056,0.0110538,13.2444622
NRBO,25,ok,12.9020019,0.0098621,12.9118673
NRBO,26,ok,13.0192787,0.0112033,13.0304845
NRBO,27,ok,13.4101384,0.0220305,13.4321713
NRBO,28,ok,13.1353476,0.0104747,13.1458255
NRBO,29,ok,13.2419707,0.0116837,13.2536573
NRBO,30,ok,13.1609786,0.0114715,13.172453
