Algorithm,Run,Status,OptimizationRuntimeSeconds,EvaluationRuntimeSeconds,TotalRuntimeSeconds
PO,1,ok,387.487444,0.0105393,387.4979867
PO,2,ok,381.407888,0.0108765,381.4187685
PO,3,ok,381.0798371,0.0102726,381.0901127
PO,4,ok,374.5976367,0.011184,374.6088266
PO,5,ok,376.1971046,0.0099129,376.2070203
PO,6,ok,375.9058289,0.0107532,375.916585
PO,7,ok,374.4802086,0.0109814,374.4911929
PO,8,ok,375.4401531,0.0118791,375.4520355
PO,9,ok,376.7870499,0.011333,376.7983858
PO,10,ok,428.3469502,0.0114094,428.3583635
PO,11,ok,408.271175,0.0115293,408.282712
PO,12,ok,408.2051032,0.0124964,408.2176032
PO,13,ok,413.6686087,0.0136334,413.6822456
PO,14,ok,406.2285431,0.0127622,406.241308
PO,15,ok,406.7407338,0.013558,406.7542946
PO,16,ok,411.5365834,0.0282207,411.5648072
PO,17,ok,409.6380309,0.0138688,409.6519032
PO,18,ok,403.6374634,0.0125332,403.6500047
PO,19,ok,388.138033,0.0116264,388.1496622
PO,20,ok,386.7730151,0.0113483,386.7843664
PO,21,ok,381.9488473,0.0107744,381.9596244
PO,22,ok,386.8820124,0.010686,386.8927011
PO,23,ok,384.6235481,0.0105835,384.6341346
PO,24,ok,387.2433494,0.022404,387.2657562
PO,25,ok,373.3184786,0.0112016,373.3296861
PO,26,ok,384.9798568,0.0102027,384.9900624
PO,27,ok,387.1152824,0.021593,387.1368785
PO,28,ok,386.2062902,0.0114462,386.2177493
PO,29,ok,388.8307452,0.0113906,388.8421384
PO,30,ok,386.8890593,0.0101827,386.899245
