Algorithm,Run,Status,OptimizationRuntimeSeconds,EvaluationRuntimeSeconds,TotalRuntimeSeconds
QHDBO,1,ok,14.4328471,0.123939,14.5570998
QHDBO,2,ok,13.50036,0.014467,13.514935
QHDBO,3,ok,13.6511261,0.0129351,13.6641379
QHDBO,4,ok,15.1386731,0.0125928,15.1513383
QHDBO,5,ok,14.5763333,0.0170988,14.5938847
QHDBO,6,ok,13.3118635,0.0116123,13.3234791
QHDBO,7,ok,14.7813138,0.0165927,14.7979092
QHDBO,8,ok,17.3011034,0.0184131,17.3195193
QHDBO,9,ok,15.0586922,0.015183,15.0738789
QHDBO,10,ok,14.7577687,0.017602,14.7753745
QHDBO,11,ok,14.3814782,0.0120445,14.3935273
QHDBO,12,ok,13.1043223,0.0109399,13.1152653
QHDBO,13,ok,14.3184455,0.0147658,14.3332153
QHDBO,14,ok,15.0709316,0.0137824,15.084718
QHDBO,15,ok,13.6063307,0.0118236,13.618157
QHDBO,16,ok,13.1202387,0.0110487,13.1312901
QHDBO,17,ok,13.9662339,0.0112593,13.9774966
QHDBO,18,ok,14.5453774,0.0128213,14.5582014
QHDBO,19,ok,15.2159418,0.0121485,15.2280942
QHDBO,20,ok,14.0480878,0.0140789,14.0621704
QHDBO,21,ok,14.6094263,0.0136784,14.6231082
QHDBO,22,ok,14.3245233,0.0115833,14.3361108
QHDBO,23,ok,13.3932135,0.0108843,13.4041011
QHDBO,24,ok,13.2675671,0.0119275,13.2794976
QHDBO,25,ok,12.9068453,0.0128209,12.9196694
QHDBO,26,ok,12.4348975,0.0118123,12.4467122
QHDBO,27,ok,12.6290199,0.0124585,12.6414819
QHDBO,28,ok,12.6452932,0.0118415,12.6571376
QHDBO,29,ok,13.0021868,0.0111083,13.0132984
QHDBO,30,ok,12.7589448,0.0112113,12.7701591
