Algorithm,Run,Status,OptimizationRuntimeSeconds,EvaluationRuntimeSeconds,TotalRuntimeSeconds
SWO,1,ok,0.8361299,0.0102509,0.846384
SWO,2,ok,0.6777469,0.0105678,0.6883174
SWO,3,ok,0.6656884,0.0106778,0.6763688
SWO,4,ok,0.6665793,0.0109325,0.6775142
SWO,5,ok,0.6702651,0.0114468,0.6817149
SWO,6,ok,0.6856754,0.0108349,0.6965131
SWO,7,ok,0.6620414,0.0108205,0.672865
SWO,8,ok,0.6575816,0.010955,0.6685391
SWO,9,ok,0.6511646,0.010547,0.6617144
SWO,10,ok,0.6544851,0.0105512,0.6650399
SWO,11,ok,0.667413,0.0103988,0.6778147
SWO,12,ok,0.6539861,0.0115423,0.6655313
SWO,13,ok,0.6948349,0.0135932,0.7084319
SWO,14,ok,0.6423929,0.011063,0.6534585
SWO,15,ok,0.6678219,0.0121063,0.6799314
SWO,16,ok,0.6708617,0.0111586,0.682024
SWO,17,ok,0.6496745,0.0116964,0.6613741
SWO,18,ok,0.6621341,0.0109741,0.6731115
SWO,19,ok,0.6657033,0.0098568,0.6755628
SWO,20,ok,0.6509219,0.0111262,0.6620512
SWO,21,ok,0.6674395,0.0103826,0.6778248
SWO,22,ok,0.6486556,0.0105519,0.6592104
SWO,23,ok,0.6699976,0.0107507,0.6807509
SWO,24,ok,0.6520522,0.0109547,0.6630097
SWO,25,ok,0.6555513,0.0101969,0.6657508
SWO,26,ok,0.6555,0.0111317,0.6666349
SWO,27,ok,0.6519609,0.0110285,0.6629921
SWO,28,ok,0.6714122,0.0215467,0.6929622
SWO,29,ok,0.6550713,0.0214402,0.6765143
SWO,30,ok,0.68593,0.0109526,0.6968856
