Algorithm,Run,Status,OptimizationRuntimeSeconds,EvaluationRuntimeSeconds,TotalRuntimeSeconds
WOA,1,ok,15.2783952,0.0152618,15.2936605
WOA,2,ok,15.1523705,0.0113217,15.1636948
WOA,3,ok,13.9309777,0.0120438,13.9430246
WOA,4,ok,14.3093004,0.0120932,14.3213964
WOA,5,ok,14.9249907,0.0122141,14.937208
WOA,6,ok,14.249506,0.0125971,14.2621059
WOA,7,ok,14.697092,0.0107162,14.7078111
WOA,8,ok,14.8552565,0.0138832,14.8691433
WOA,9,ok,16.4854336,0.0111846,16.4966214
WOA,10,ok,16.3232888,0.0169475,16.3402396
WOA,11,ok,15.9211222,0.0279841,15.9491095
WOA,12,ok,16.7914297,0.0131157,16.8045527
WOA,13,ok,17.0254791,0.0117498,17.0372322
WOA,14,ok,14.9986005,0.0109573,15.0095609
WOA,15,ok,14.2534824,0.0124454,14.2659317
WOA,16,ok,15.0264863,0.0119948,15.038485
WOA,17,ok,14.3732615,0.0112107,14.3844853
WOA,18,ok,14.4376774,0.0115111,14.4491916
WOA,19,ok,13.9170269,0.0100885,13.9271192
WOA,20,ok,13.9038844,0.0126457,13.9165335
WOA,21,ok,14.8850385,0.0118506,14.896892
WOA,22,ok,13.5408282,0.0135251,13.5543562
WOA,23,ok,13.6784345,0.0121866,13.6906235
WOA,24,ok,13.8562159,0.0115088,13.8677278
WOA,25,ok,13.3581293,0.0098657,13.3679978
WOA,26,ok,13.6949729,0.0111974,13.7061733
WOA,27,ok,13.6211925,0.0108714,13.6320669
WOA,28,ok,13.5798953,0.011159,13.5910579
WOA,29,ok,16.0360552,0.0148772,16.0509365
WOA,30,ok,14.3871535,0.0119261,14.3990829
