"Algorithm","Run","Seed","Status","OptimizationRuntimeSeconds","EvaluationRuntimeSeconds","TotalRuntimeSeconds"
"QHDBO","1","20260530","ok","14.4328471","0.123939","14.5570998"
"QHDBO","2","20260531","ok","13.50036","0.014467","13.514935"
"QHDBO","3","20260532","ok","13.6511261","0.0129351","13.6641379"
"QHDBO","4","20260533","ok","15.1386731","0.0125928","15.1513383"
"QHDBO","5","20260534","ok","14.5763333","0.0170988","14.5938847"
"QHDBO","6","20260535","ok","13.3118635","0.0116123","13.3234791"
"QHDBO","7","20260536","ok","14.7813138","0.0165927","14.7979092"
"QHDBO","8","20260537","ok","17.3011034","0.0184131","17.3195193"
"QHDBO","9","20260538","ok","15.0586922","0.015183","15.0738789"
"QHDBO","10","20260539","ok","14.7577687","0.017602","14.7753745"
"QHDBO","11","20260540","ok","14.3814782","0.0120445","14.3935273"
"QHDBO","12","20260541","ok","13.1043223","0.0109399","13.1152653"
"QHDBO","13","20260542","ok","14.3184455","0.0147658","14.3332153"
"QHDBO","14","20260543","ok","15.0709316","0.0137824","15.084718"
"QHDBO","15","20260544","ok","13.6063307","0.0118236","13.618157"
"QHDBO","16","20260545","ok","13.1202387","0.0110487","13.1312901"
"QHDBO","17","20260546","ok","13.9662339","0.0112593","13.9774966"
"QHDBO","18","20260547","ok","14.5453774","0.0128213","14.5582014"
"QHDBO","19","20260548","ok","15.2159418","0.0121485","15.2280942"
"QHDBO","20","20260549","ok","14.0480878","0.0140789","14.0621704"
"QHDBO","21","20260550","ok","14.6094263","0.0136784","14.6231082"
"QHDBO","22","20260551","ok","14.3245233","0.0115833","14.3361108"
"QHDBO","23","20260552","ok","13.3932135","0.0108843","13.4041011"
"QHDBO","24","20260553","ok","13.2675671","0.0119275","13.2794976"
"QHDBO","25","20260554","ok","12.9068453","0.0128209","12.9196694"
"QHDBO","26","20260555","ok","12.4348975","0.0118123","12.4467122"
"QHDBO","27","20260556","ok","12.6290199","0.0124585","12.6414819"
"QHDBO","28","20260557","ok","12.6452932","0.0118415","12.6571376"
"QHDBO","29","20260558","ok","13.0021868","0.0111083","13.0132984"
"QHDBO","30","20260559","ok","12.7589448","0.0112113","12.7701591"
"IDBO","1","20260530","ok","27.2642403","0.0124249","27.2766684"
"IDBO","2","20260531","ok","27.2404659","0.011081","27.2515512"
"IDBO","3","20260532","ok","26.4376969","0.0117168","26.4494168"
"IDBO","4","20260533","ok","26.9941946","0.0115212","27.0057189"
"IDBO","5","20260534","ok","27.0721342","0.0122151","27.0843523"
"IDBO","6","20260535","ok","26.8252483","0.0111574","26.836409"
"IDBO","7","20260536","ok","26.7551721","0.0118001","26.7669755"
"IDBO","8","20260537","ok","27.1012707","0.0115894","27.1128633"
"IDBO","9","20260538","ok","26.8646025","0.0113748","26.8759802"
"IDBO","10","20260539","ok","26.1556676","0.011723","26.1673934"
"IDBO","11","20260540","ok","27.1834246","0.0110577","27.1944848"
"IDBO","12","20260541","ok","26.7169815","0.0108405","26.727825"
"IDBO","13","20260542","ok","26.2934564","0.010671","26.30413"
"IDBO","14","20260543","ok","26.5097335","0.0128997","26.5226362"
"IDBO","15","20260544","ok","27.9593343","0.0114828","27.9708201"
"IDBO","16","20260545","ok","26.4015322","0.0115705","26.4131053"
"IDBO","17","20260546","ok","26.7886259","0.0112448","26.7998736"
"IDBO","18","20260547","ok","26.246477","0.0105449","26.2570246"
"IDBO","19","20260548","ok","26.2707764","0.0113083","26.2820888"
"IDBO","20","20260549","ok","26.6628351","0.0155464","26.6783851"
"IDBO","21","20260550","ok","26.387332","0.0121596","26.3994947"
"IDBO","22","20260551","ok","26.2265082","0.0108796","26.2373906"
"IDBO","23","20260552","ok","26.5925112","0.0108246","26.603339"
"IDBO","24","20260553","ok","26.374194","0.0111443","26.3853412"
"IDBO","25","20260554","ok","26.2103461","0.0105246","26.2208739"
"IDBO","26","20260555","ok","26.7150185","0.0110839","26.7261049"
"IDBO","27","20260556","ok","26.5314143","0.0216028","26.5530205"
"IDBO","28","20260557","ok","26.3480412","0.011309","26.3593532"
"IDBO","29","20260558","ok","27.1110174","0.0108462","27.1218667"
"IDBO","30","20260559","ok","26.5936284","0.0107826","26.604415"
"DBO","1","20260530","ok","13.3468069","0.0119559","13.3587658"
"DBO","2","20260531","ok","13.2719382","0.0108637","13.2828051"
"DBO","3","20260532","ok","13.181515","0.0101116","13.1916293"
"DBO","4","20260533","ok","13.1209027","0.0108957","13.1318014"
"DBO","5","20260534","ok","13.2622132","0.0115885","13.2738045"
"DBO","6","20260535","ok","13.2091339","0.010579","13.2197155"
"DBO","7","20260536","ok","14.8544143","0.0140997","14.8685186"
"DBO","8","20260537","ok","14.4757694","0.0116813","14.4874539"
"DBO","9","20260538","ok","13.5786188","0.0126732","13.5912954"
